subject_id,date,duration,type,modality_abbreviations,tags,name,project_name,investigators,nwb_path
664851,2023-11-15,6867.392,brainwide survey,ecephys; behavior; behavior-videos,prod; first_block_aud; late_autorewards,ecephys_664851_2023-11-15_12-38-21_nwb_2026-05-01_13-18-55,Dynamic Routing,Shawn Olsen; Corbett Bennett,/root/capsule/data/ecephys_664851_2023-11-15_12-38-21_nwb_2026-05-01_13-18-55/664851_2023-11-15.nwb.zarr
668755,2023-08-31,6973.718,brainwide survey,ecephys; behavior; behavior-videos,prod; first_block_vis; late_autorewards,ecephys_668755_2023-08-31_12-33-31_nwb_2026-05-01_13-19-39,Dynamic Routing,Shawn Olsen; Corbett Bennett,/root/capsule/data/ecephys_668755_2023-08-31_12-33-31_nwb_2026-05-01_13-19-39/668755_2023-08-31.nwb.zarr
713655,2024-08-09,7685.580,brainwide survey,ecephys; behavior; behavior-videos,prod; first_block_aud; late_autorewards,ecephys_713655_2024-08-09_10-41-47_nwb_2026-05-01_13-21-04,Dynamic Routing,Shawn Olsen; Corbett Bennett,/root/capsule/data/ecephys_713655_2024-08-09_10-41-47_nwb_2026-05-01_13-21-04/713655_2024-08-09.nwb.zarr
759434,2025-02-04,7029.242,brainwide survey,ecephys; behavior; behavior-videos,prod; first_block_vis; late_autorewards,ecephys_759434_2025-02-04_12-27-22_nwb_2026-05-01_13-17-10,Dynamic Routing,Shawn Olsen; Corbett Bennett,/root/capsule/data/ecephys_759434_2025-02-04_12-27-22_nwb_2026-05-01_13-17-10/759434_2025-02-04.nwb.zarr
